Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total,,
93.6498,45.5566,3350.7977,79.5193,68.6208,70.6772,7212006.49,,
65.765,19.5934,1012.0335,11.3034,319.0604,14.1921,,,
56.7776,14.0687,627.3661,32.5186,1256.6817,15.3966,,,
149.5084,54.9849,6456.5306,178.5129,1522.039,40.3472,,,
26.7768,20.509,431.3142,135.4942,2439.565,13.5266,,,
68.2851,7.7838,417.4554,6.4068,2595.6136,6.0515,,,
65.6351,6.3408,326.8659,178.3958,2853.6131,4.3514,,,
110.4356,5.1676,448.2153,1.0064,3025.9992,3.4472,,,
51.6916,27.8836,1132.0308,108.7919,1778.3133,31.8904,,,
49.9507,18.6022,729.7864,144.1106,1076.9603,22.4171,,,
81.7996,37.6717,2420.2271,10.7023,2150.3449,35.2269,,,
63.4467,16.9855,846.4035,18.1277,1708.2559,22.3863,,,`
26.1571,16.7005,343.0909,82.5132,1655.0805,22.2755,,,
50.4646,38.2071,1514.3321,64.9358,1156.8223,50.13,,,
73.2919,58.0755,3343.0233,103.8919,1345.0329,73.8272,,,
87.3439,48.5007,3327.1363,60.0091,1938.7341,72.0757,,,
25.0632,17.1375,337.3445,115.4461,230.1953,50.3402,,,
34.8341,20.5343,561.7902,76.2386,2031.2638,69.4425,,,
111.6736,42.0732,3690.1704,67.8232,262.6645,96.6343,,,
57.1127,20.8587,935.6409,12.6211,1871.512,65.2499,,,
28.2555,14.0894,312.669,61.4507,1050.1424,65.8237,,,
48.2798,21.8222,827.4743,1.8764,894.7986,69.0177,,,
31.9688,16.0339,402.5825,57.0547,608.5357,76.3563,,,
73.7574,26.8823,1557.2607,125.4304,1748.4586,89.4788,,,
87.2058,22.9933,1574.8378,79.091,143.5255,118.4093,,,
59.311,21.8126,1016.0898,82.1355,753.1373,116.8419,,,
93.5794,36.4847,2681.517,1.1053,1489.2639,101.1534,,,
51.0722,16.7611,672.3229,21.2545,201.5093,103.8589,,,
57.5481,27.3045,1234.113,59.0643,1098.5214,115.232,,,
43.6002,25.7635,882.2336,7.4997,564.4981,108.6042,,,
47.1703,22.8738,847.4175,174.2749,2206.2649,101.2014,,,
25.1666,20.7609,410.3569,43.9126,2116.7661,102.8021,,,
34.3379,16.7576,451.9335,171.7218,1150.9473,103.5429,,,
28.5689,22.0697,495.2001,101.1199,619.5256,107.9088,,,
26.4672,16.8789,350.8653,86.6192,802.3794,112.1253,,,
78.4404,28.0811,1729.9892,173.6016,2198.2237,127.3595,,,
50.9148,18.0809,723.026,144.4888,1216.9612,125.8256,,,
33.4688,12.7306,334.6403,118.7809,1414.4991,132.944,,,
35.4706,13.0313,363.0341,54.5345,326.1471,135.8381,,,
57.4904,17.7422,801.1087,92.8956,103.968,154.6926,,,
45.2932,15.992,568.8886,140.7399,2450.0223,141.6575,,,
45.5125,13.428,479.9892,67.6284,3005.061,149.3179,,,
48.3473,20.3229,771.7009,43.0664,277.0476,150.3694,,,
68.0719,15.471,827.1363,97.8646,1994.0766,174.092,,,
58.3867,6.5751,301.5143,136.92,2503.3795,153.5901,,,
30.0326,18.7586,442.4689,140.9139,2349.9283,148.3982,,,
29.3473,18.7713,432.6663,156.1812,701.8977,151.9608,,,
148.5954,39.5697,4618.0368,137.2296,455.4945,207.1716,,,
43.903,25.1545,867.3607,16.3626,1895.197,164.4359,,,
25.6299,19.1766,386.0195,69.9459,1119.4946,157.9288,,,
51.044,33.3638,1337.5473,157.9673,1209.3748,166.2414,,,
71.0895,43.1595,2409.7485,170.3394,1675.3418,176.0575,,,
44.9475,19.61,692.2661,4.6927,1057.379,161.2702,,,
39.2165,29.3128,902.8529,158.4266,2237.2527,169.4517,,,
37.1185,10.5397,307.2607,165.5175,813.1812,160.7469,,,
66.2301,20.1901,1050.2299,133.2394,44.1704,181.2557,,,
35.8234,14.0443,395.146,132.0575,1449.9933,178.6224,,,
31.2338,20.669,507.0308,97.8116,1352.2864,181.4248,,,
43.62,21.7164,743.9832,176.6469,712.3515,184.1532,,,
24.0115,17.2429,325.1758,179.9183,1780.6133,179.9074,,,
29.814,26.3593,617.2255,33.3267,368.9195,184.0183,,,
63.659,21.8371,1091.8064,169.4646,2131.2071,185.1093,,,
42.145,25.6217,848.0936,168.189,640.0856,202.6904,,,
23.5836,19.3988,359.3158,162.2264,1132.0525,199.816,,,
33.5268,14.2233,374.5268,177.4376,279.8763,197.1502,,,
30.0383,13.9552,329.232,111.9145,3092.6197,203.2496,,,
