Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
30.7714,15.2429,368.3878,18.8266,1038.5701,14.6975,7145383.23
101.6414,36.1626,2886.8206,114.3229,183.957,81.1028,
18.5481,14.759,215.0045,158.7539,1490.8228,31.7981,
23.2692,15.3013,279.6398,9.3276,1304.7963,32.4459,
75.3014,27.2147,1609.5197,174.2306,2321.3146,38.8223,
63.776,38.6651,1936.715,41.8265,2876.6206,69.09,
53.7525,12.1847,514.4033,92.5096,1422.1813,67.6262,
135.3688,41.7841,4442.4217,14.9983,1886.6811,84.5101,
42.63,20.175,675.4892,160.7248,565.5661,69.0894,
80.7351,14.1228,895.5172,108.1365,1359.401,98.8579,
152.6115,105.4841,12643.4033,133.3083,334.9373,136.6955,
27.5112,11.7485,253.8527,109.5384,1548.9463,78.7182,
148.5971,31.8978,3722.7259,46.1936,1994.8309,129.2926,
50.3018,20.4209,806.7692,62.0884,107.6947,96.0731,
57.559,14.9867,677.4986,146.9485,2117.826,90.0751,
75.3853,25.4309,1505.7013,105.586,766.7645,125.9546,
105.0846,54.3249,4483.6141,1.0681,2761.0586,139.4857,
152.7374,32.4514,3892.8541,73.842,885.0915,160.4867,
128.3421,37.2808,3757.8902,90.1901,1570.4256,166.6713,
28.1042,12.7144,280.6445,131.1397,414.894,104.9947,
78.4827,28.1816,1737.1158,112.8737,2635.6078,136.7181,
72.0595,29.1018,1647.0282,102.611,2568.0861,142.1217,
44.9858,25.4881,900.5407,85.5493,2301.505,125.0782,
43.8294,41.8628,1441.066,34.8042,1747.4239,138.1404,
35.2492,26.9277,745.4829,12.8291,523.073,133.424,
112.0204,29.5346,2598.4734,87.3133,92.1459,185.4488,
58.7052,29.7295,1370.7374,43.8212,1884.9507,151.6224,
58.7006,20.3612,938.719,105.0289,1038.9374,158.4332,
73.8109,46.4413,2692.2448,42.4847,1241.3165,166.8963,
79.7724,18.6069,1165.7799,114.3317,1422.7856,165.7551,
36.8076,21.6171,624.9196,113.3742,2211.2269,156.6336,
29.59,21.976,510.7194,67.7988,2998.1043,148.2455,
85.2659,28.04,1877.773,90.3264,1487.3302,179.6362,
328.8744,45.0788,11643.7329,7.3722,2318.9117,181.3942,
38.6212,21.1098,640.3249,92.6798,597.3823,171.1089,
60.8984,13.7728,658.7443,106.6131,675.4197,176.6383,
115.5492,30.2969,2749.5124,129.5377,483.5904,195.1779,
45.9559,11.0137,397.5239,52.975,1314.3353,178.7626,
39.4428,26.0971,808.4437,130.3336,2123.7472,179.7136,
144.0637,40.7126,4606.5217,136.6036,1837.8744,228.5304,
29.3826,18.3434,423.311,43.9608,1924.8844,182.1442,
84.0277,23.9673,1581.7231,161.6417,2890.968,190.359,
223.78,40.1234,7051.9467,61.3157,1287.3851,285.9861,
68.2059,15.7169,841.9335,48.3825,930.9895,208.2684,
112.7079,92.7395,8209.3541,45.0907,973.7953,282.0487,
128.0667,23.3402,2347.6348,63.6049,1347.2694,263.6544,
41.2467,19.7868,640.9947,132.7495,1650.7702,213.5991,
73.4424,31.2071,1800.0766,48.9462,794.9163,235.6492,
124.4063,31.2796,3056.2789,179.1423,2042.1772,221.2303,
50.7913,18.3352,731.4172,99.157,1955.2938,226.0222,
51.5429,20.2767,820.8349,73.9862,2573.8121,231.3114,
169.7758,27.1577,3621.2518,6.9549,2791.0716,226.8705,
47.917,23.1281,870.3998,98.5454,3047.3663,238.3412,
165.898,34.7451,4527.1508,69.9142,1142.4739,303.9011,
74.41,26.5207,1549.9078,99.1544,207.0094,263.9518,
43.8811,16.8886,582.0527,7.1624,1464.4274,241.2199,
100.8078,27.012,2138.6585,19.4994,2393.577,255.0252,
69.9989,19.2434,1057.9427,54.2136,2617.0466,267.5651,
30.4921,12.2361,293.0357,95.6716,1712.0969,249.9514,
69.6563,20.2991,1110.5217,143.0557,1551.8942,259.1088,
149.1294,30.7603,3602.8324,91.7948,67.1511,328.7307,
63.6888,18.3581,918.2903,3.1332,1399.6527,263.9761,
84.1851,24.7126,1633.9672,75.0653,3056.832,303.1791,
92.1625,28.8612,2089.0936,118.294,723.5326,315.3879,
