,size,num_vol,pop_density,2sigma,total_area,number_per_unit_area,max_l,avg_l
0,47.64665057,4.59E-10,-21.50209885,0.000743022,7245313.77,1.38E-07,535.8272,139.84939
1,57.78593288,9.36E-10,-20.78935264,0.001286951,7245313.77,4.14E-07,,
2,70.08287045,3.82E-09,-19.38345924,0.003152373,7245313.77,2.48E-06,,
3,84.99661572,2.16E-09,-19.95164686,0.00287771,7245313.77,2.07E-06,,
4,103.0840295,1.76E-09,-20.15519138,0.003152373,7245313.77,2.48E-06,,
5,125.0204734,1.13E-09,-20.59821586,0.003063556,7245313.77,2.35E-06,,
6,151.6250271,1.45E-09,-20.35155937,0.004203164,7245313.77,4.42E-06,,
7,183.8910718,8.32E-10,-20.90732448,0.003860853,7245313.77,3.73E-06,,
8,223.0233816,6.49E-10,-21.15504021,0.004136969,7245313.77,4.28E-06,,
9,270.4831086,2.99E-10,-21.93037105,0.003404952,7245313.77,2.90E-06,,
10,328.0423403,6.78E-11,-23.41484941,0.00196585,7245313.77,9.66E-07,,
11,397.8502672,1.18E-10,-22.85625387,0.003152373,7245313.77,2.48E-06,,
12,482.513431,2.69E-11,-24.34073223,0.001820024,7245313.77,8.28E-07,,
13,585.1930494,1.22E-11,-25.13206341,0.001486043,7245313.77,5.52E-07,,
