,Names,Depth,m,b,r
0,TW050,76.6,-0.010813543529770075,-18.19393385394855,0.8113673935693533
1,TW053,76.92,-0.014116567235225901,-17.731570132637312,0.9415721143704353
2,TW063,78.09,-0.01275527584668409,-18.427198665128124,0.9852028346826484
3,TW084,82.56,-0.012248627753874993,-17.992311281418278,0.9788253622711092
4,TW092,83.35,-0.017838580514223226,-16.99615196201343,0.9904451830632073
5,TW107,85.45,-0.013925722537426438,-18.124429439502038,0.9818919176188868
6,TW139,89.29,-0.010693509212348375,-18.98888137743346,0.9765655397716705
7,TW142,89.5,-0.009429900441317217,-19.5092494227006,0.8605207965926184
8,TW145,89.84,-0.01205584892975294,-18.43081667141958,0.9764789242920966
9,TW159,92.61,-0.010811581751840965,-18.76304323509394,0.9653576617798977
10,TW176,95.38,-0.010848322378087479,-18.664170349424523,0.9711856899272217
11,TW187,98.66,-0.013757264668386988,-18.004043392288033,0.9413761213444425
12,TW213,101.65,-0.009168464503987759,-19.30153391047672,0.9786900989695939
13,TW236,105.71,-0.008815299113126776,-19.38910501706472,0.9387347773981183
14,TW247,107.36,-0.011230116461916816,-18.875569119522055,0.8836900967258347
15,TW256,111.19,-0.009833468539379607,-19.338481639953688,0.9585431831006137
16,TW259,111.69,-0.011726125963373668,-18.67975726823158,0.9596386099597481
17,TW263,112.5,-0.009684102963788972,-19.336268148979492,0.9425513497580293
18,TW269,113.43,-0.013269207081938838,-17.878774009677393,0.7298681691164581
19,TW281,115.46,-0.007990619872704215,-19.59010291100692,0.9572542248786812
20,TW288,116.28,-0.00931691234525298,-19.459086144662262,0.9783073503583588
21,TW304,118.5,-0.00939471233392385,-19.338304385431744,0.9786538770379539
22,TW328,123.58,-0.009720896004533753,-19.21921200342517,0.9844914310708771
